Model,scenario,region,riverBasin,Variable,Unit,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060
GCAM,CORN1BG,Africa_Eastern,AfrCstNE,LandCover|Pasture|Managed,Mha,0.63526,0.609601,0.712577,0.821919,0.964149,1.12382,1.29789,1.48696,1.68697,1.90736,2.13349
GCAM,CORN1BG,Africa_Eastern,AfrCstNE,LandCover|Pasture|Total,Mha,33.47166,33.547001,33.514077,33.473319,33.437849,33.4214,33.42348,33.43384,33.45219,33.47346,33.49847
GCAM,CORN1BG,Africa_Eastern,AfrCstNE,LandCover|Pasture|Unmanaged,Mha,32.8364,32.9374,32.8015,32.6514,32.4737,32.29758,32.12559,31.94688,31.76522,31.5661,31.36498
GCAM,CORN1BG,Africa_Eastern,AfrCstNE,LandCover|Shrubland,Mha,21.43176,21.38826,21.35685,21.32242,21.27897,21.2323,21.18333,21.13063,21.07529,21.0138,20.95044
GCAM,CORN1BG,Africa_Eastern,AfrCstNE,LandCover|Total,Mha,69.30012636,69.29666784,69.29666479,69.29664798,69.29667607,69.29663655,69.29663696,69.29664682,69.29664025,69.29663479,69.29663231
GCAM,CORN1BG,Africa_Eastern,AfrCstNE,LandUse|Crops|Corn,Mha,0.05760666,0.05173876,0.05829685,0.0693664,0.07973684,0.0868715,0.0930683,0.098692,0.1035258,0.1088436,0.1144599
GCAM,CORN1BG,Africa_Eastern,AfrCstNE,LandUse|Crops|EnergyCrops,Mha,0,0,0.016106872,0.029984472,0.048990719,0.068071854,0.074564653,0.081072226,0.087089451,0.093830429,0.100363014
GCAM,CORN1BG,Africa_Eastern,AfrCstNE,LandUse|Crops|OtherCrops,Mha,0.09556573,0.10033658,0.103559679,0.112535389,0.123192662,0.136605669,0.150179964,0.164441911,0.179041112,0.198886142,0.219244049
GCAM,CORN1BG,Africa_Eastern,AfrCstNE,LandUse|Crops|OtherGrains,Mha,0.25552046,0.24146666,0.29458032,0.34953166,0.4022249,0.4336911,0.4601333,0.4816903,0.4988808,0.5170632,0.5329677
GCAM,CORN1BG,Africa_Eastern,AfrCstNE,LandUse|Crops|OtherOilCrops,Mha,0.04493572,0.0458078,0.04438507,0.04328177,0.04270802,0.05055665,0.05873628,0.06740569,0.07599389,0.08247078,0.08898002
GCAM,CORN1BG,Africa_Eastern,AfrCstNE,LandUse|Crops|Rice,Mha,8.54E-04,4.83E-04,4.57E-04,4.37E-04,4.15E-04,4.02E-04,3.90E-04,3.79E-04,3.70E-04,3.86E-04,4.00E-04
GCAM,CORN1BG,Africa_Eastern,AfrCstNE,LandUse|Crops|Soybean,Mha,6.68E-05,1.84E-04,1.54E-04,1.61E-04,1.72E-04,1.71E-04,1.72E-04,1.74E-04,1.77E-04,1.95E-04,2.14E-04
GCAM,CORN1BG,Africa_Eastern,AfrCstNE,LandUse|Crops|SugarCrops,Mha,0.001699046,0.00169306,0.001777485,0.001905628,0.002034972,0.002270763,0.0025102,0.00274565,0.00296957,0.0031759,0.00336486
GCAM,CORN1BG,Africa_Eastern,AfrCstNE,LandUse|Crops|Total,Mha,0.465502656,0.45121384,0.534011289,0.628920175,0.728873366,0.810264047,0.873382464,0.93189042,0.984767546,1.042305588,1.097986207
GCAM,CORN1BG,Africa_Eastern,AfrCstNE,LandUse|Crops|Wheat,Mha,0.009254114,0.00950398,0.014694477,0.021716296,0.029398337,0.03162388,0.033627843,0.035289087,0.036720181,0.037454573,0.037993286
GCAM,CORN1BG,Africa_Eastern,AfrIntN,LandCover|Cropland,Mha,4.05E-05,3.90E-05,3.18E-04,5.71E-04,9.24E-04,0.001278887,0.001407661,0.001534484,0.001649425,0.001780403,0.001905956
GCAM,CORN1BG,Africa_Eastern,AfrIntN,LandCover|Grassland,Mha,0.02318414,0.019975,0.01994828,0.01991773,0.0198795,0.01983552,0.01977671,0.01971319,0.01964623,0.01957362,0.0194999
GCAM,CORN1BG,Africa_Eastern,AfrIntN,LandCover|OtherArable,Mha,0.00654285,0.00932306,0.00918329,0.00904328,0.0088605,0.00866684,0.00849923,0.0083218,0.00813993,0.00794165,0.00774269
GCAM,CORN1BG,Africa_Eastern,AfrIntN,LandCover|OtherNotArable,Mha,26.39880301,26.319131,26.319131,26.319131,26.319131,26.319131,26.319131,26.319131,26.319131,26.319131,26.319131
GCAM,CORN1BG,Africa_Eastern,AfrIntN,LandCover|Pasture|Managed,Mha,0.0874301,0.0855937,0.0998232,0.114924,0.134275,0.155512,0.178106,0.20209,0.226832,0.253469,0.280091
GCAM,CORN1BG,Africa_Eastern,AfrIntN,LandCover|Pasture|Total,Mha,4.6066641,4.7103107,4.7103352,4.710408,4.71047,4.710576,4.710973,4.711411,4.711886,4.712396,4.712917
GCAM,CORN1BG,Africa_Eastern,AfrIntN,LandCover|Pasture|Unmanaged,Mha,4.519234,4.624717,4.610512,4.595484,4.576195,4.555064,4.532867,4.509321,4.485054,4.458927,4.432826
GCAM,CORN1BG,Africa_Eastern,AfrIntN,LandCover|Shrubland,Mha,0.1268064,0.1016711,0.1015351,0.1013795,0.101185,0.1009611,0.1006618,0.1003385,0.0999976,0.0996281,0.0992528
GCAM,CORN1BG,Africa_Eastern,AfrIntN,LandCover|Total,Mha,31.16204098,31.16044982,31.16045045,31.16045061,31.16045019,31.16044935,31.1604494,31.16044997,31.16045018,31.16045077,31.16044935
